track_id,frame,timestamp_sec,area_px,centroid_x,centroid_y,equiv_diameter_px,aspect_ratio,mean_intensity,circularity,is_nucleation,nucleation_frame,growth_rate_area,growth_rate_diameter
1,0,1800.0,56.0,248.6130952380952,730.7797619047618,8.444016491289505,1.2158074135196546,57.98550724637681,0.8885539427076219,True,0,-0.0007407407407407403,-5.882290538878741e-05
1,1,3600.0,50.5,248.4092409240924,729.8184818481848,8.018640596081465,1.119491091000132,59.06349206349206,0.8883228964418417,True,0,-0.0007407407407407403,-5.882290538878741e-05
1,2,5400.0,55.5,248.34234234234233,729.9699699699698,8.406235467365967,1.3754440700858754,57.34782608695652,0.7983646093766975,True,0,-0.0007407407407407403,-5.882290538878741e-05
1,3,7200.0,54.5,248.2874617737003,729.2507645259939,8.33015937350939,1.3577897740864457,60.16417910447761,0.8500322966718213,True,0,-0.0007407407407407403,-5.882290538878741e-05
1,4,9000.0,48.0,248.33333333333334,729.46875,7.817640190446719,1.5595959927469047,52.693548387096776,0.6639006115393968,True,0,-0.0007407407407407403,-5.882290538878741e-05
1,5,10800.0,52.0,249.025641025641,729.5256410256409,8.136857890256438,1.7761877620299489,53.833333333333336,0.7192256625010133,True,0,-0.0007407407407407403,-5.882290538878741e-05
1,6,12600.0,45.5,249.33333333333331,729.172161172161,7.611333607551958,1.483662253284845,56.98275862068965,0.8523906469041906,True,0,-0.0007407407407407403,-5.882290538878741e-05
1,7,14400.0,46.0,249.30434782608697,730.0217391304348,7.653039857325812,1.727518903586733,49.71186440677966,0.6887376821243634,True,0,-0.0007407407407407403,-5.882290538878741e-05
2,2,5400.0,124.5,255.8995983935743,861.0107095046853,12.590406002966217,2.873220897872726,67.48427672955975,0.31275007323383625,True,2,-0.003571428571428568,-0.00019315745589568758
2,6,12600.0,98.5,256.10659898477155,860.7191201353637,11.198843474056307,2.652306063926947,66.11538461538461,0.2954355593506244,True,2,-0.003571428571428568,-0.00019315745589568758
2,7,14400.0,92.5,256.23243243243246,861.5063063063062,10.852403323135505,2.3660260799350326,65.52845528455285,0.2954131320564398,True,2,-0.003571428571428568,-0.00019315745589568758
