frame,timestamp_sec,num_nucleation,num_crystals,total_crystal_area_px,mean_intensity,max_area_px
0,1800.0,0,0,0,0,0
1,3600.0,0,0,0,0,0
2,5400.0,0,0,0,0,0
3,7200.0,0,0,0,0,0
4,9000.0,0,0,0,0,0
5,10800.0,0,0,0,0,0
6,12600.0,0,0,0,0,0
7,14400.0,0,0,0,0,0
8,16200.0,0,0,0,0,0
9,18000.0,0,0,0,0,0
10,19800.0,0,0,0,0,0
11,21600.0,0,0,0,0,0
12,23400.0,0,0,0,0,0
13,25200.0,0,0,0,0,0
14,27000.0,0,0,0,0,0
15,28800.0,0,0,0,0,0
16,30600.0,0,0,0,0,0
17,32400.0,0,0,0,0,0
18,34200.0,0,0,0,0,0
19,36000.0,0,0,0,0,0
20,37800.0,0,0,0,0,0
21,39600.0,0,0,0,0,0
22,41400.0,0,0,0,0,0
23,43201.0,0,0,0,0,0
24,45001.0,0,0,0,0,0
25,46801.0,0,0,0,0,0
26,48601.0,0,0,0,0,0
27,50401.0,0,0,0,0,0
28,52201.0,0,0,0,0,0
29,54001.0,0,0,0,0,0
30,55801.0,0,0,0,0,0
31,57601.0,0,0,0,0,0
32,59401.0,0,0,0,0,0
33,61201.0,0,0,0,0,0
34,63001.0,0,0,0,0,0
35,64801.0,0,0,0,0,0
36,66601.0,0,0,0,0,0
37,68401.0,0,0,0,0,0
38,70201.0,0,0,0,0,0
39,72001.0,0,0,0,0,0
40,73801.0,0,0,0,0,0
41,75601.0,0,0,0,0,0
42,77401.0,0,0,0,0,0
43,79201.0,0,0,0,0,0
44,81001.0,0,0,0,0,0
45,82801.0,0,0,0,0,0
46,84601.0,0,0,0,0,0
47,86401.0,0,0,0,0,0
48,88201.0,0,0,0,0,0
49,90002.0,0,0,0,0,0
50,91802.0,0,0,0,0,0
51,93602.0,0,0,0,0,0
52,95402.0,0,0,0,0,0
53,97202.0,0,0,0,0,0
54,99002.0,0,0,0,0,0
